Year,Establishment,State,Total Current Penalty,Industry,Description of Event
2005,RICKY WALL COMPANY,GA,6300,Logging,"On July 19, 2005, Employee #1 was at a pulpwood logging site and became ill at lunch time after working on a skidder with a ruptured hose. He was placed in an air conditioned truck cab with water and rested approximately 20 minutes. He told other workers he felt O.K. and went back to work. Approximately 3 hours later while still working on the skidder, a coworker checked on his progress. Employee #1 was sitting on the ground and said he could not get up and became unconscious. He stopped breathing and could not be revived. Employee #1 died."
2005,GARY STEWART,NC,1500,Tobacco Farming,"Employee #1, a migrant farm worker, was engaged in hand harvesting ripe tobacco leaves when he suffered heat stress or heat stroke resulting in death."
2005,BOB PAGE DBA BOB'S PICK AND PAY,NC,0,Other Vegetable (except Potato) and Melon Farming,"On July 27, 2005 Employee #1, a farm worker, dies from heat stroke after a day of work which included picking squash and cutting grass."
2005,ROY FARMS INC,WA,3000,All Other Miscellaneous Crop Farming,"On July 7, 2005, Employee #1 was weeding in hop field, using a machete. The temperature was above 93 degrees. He collapsed approximately 20 to 30 minutes after his lunch break. His body core temperature was 101.6 degrees when he was hospitalized. Life support was removed after 10 hours and Employee #1 died with a core temperature of 109 degrees."
2005,"J&K INVESTMENTS, LLC",AZ,0,Cotton Farming,"On July 29, 2005, Employee #1, a farm worker, was performing his regular assignment, when he collapsed and died. The cause of his death was likely due to heat exhaustion."
2005,GODWIN PRODUCE CO.,NC,500,Other Vegetable (except Potato) and Melon Farming,Employee #1 was killed by heat stroke.
2005,"RANCHO GRANDE FARM LABOR, INC.",AZ,9500,Farm Labor Contractors and Crew Leaders,"On July 25, 2005, Employee #1, a farm worker, died of heat stroke."
2004,MANUEL ALONSO MENDOZA,CA,9000,Other Noncitrus Fruit Farming,"On July 20, 2004, Employee #1 was picking pears on the Thisby Ranch in Isleton, MA when he began feeling sick and acting erratically. He was told by his foreman to sit down in the shade between 11:30 a.m. and 12:00 p.m. He later went to his van parked next to the orchard to lie down. Shortly thereafter, Employee #1 began having seizures and the foreman decided to transport him to the nearest doctor in Courtland, MA. He stopped breathing on the way to the doctor's office and was pronounced dead after he arrived at the doctor's office. He died from heat stroke."
2004,GIUMARRA VINEYARDS CORP,CA,23000,Grape Vineyards,"On July 28, 2004, Employee #1 was picking grapes during a 10-hour shift, when he became ill, began to vomit and then collapsed. The crew foreman was summoned, and only limited assistance was provided. A 911 call was placed but later cancelled, when other employees were unable to provide the exact location of the worksite, panicked, and then hung up. Employee #1 was transported by private car to Kern Medical Center in Bakersfield, located at least 30 minutes away from the worksite. Employee #1 arrived at the hospital in full cardiopulmonary arrest and died in the ER. The Kern County Coroner determined that hyperthermia was the cause of death. Employee #1 had been working approx. 4.5 days for this employer. According to the Western Regional Climatic Center, the days prior to this incident, the ambient temperature was 102 degrees F and on July 28, 2004, it was 99 to 100 degrees F, 28 percent humidity, and clear skies. The employer had not established an effective injury and illness prevention program. No employees nor were trained on heat stress or first aid. Drinking water was available at the worksite."
2003,"THE GROWERS COMPANY, INC.",AZ,0,Farm Labor Contractors and Crew Leaders,"Employee #1, after picking honeydew melons for more than 6 hours in temperatures over 100 degrees farenheit, was overcome by heat exhaustion and died."
2002,HAPPY BOY FARMS,CA,6275,Other Vegetable (except Potato) and Melon Farming,"At approximately 9:30 a.m. on July 12, 2002, Employee #1 and seven coworkers were hand picking tomatoes, working in teams of two workers per row. The employees were working indirect sunlight in temperatures that exceeded 100 degrees Fahrenheit. Employee #1 walked off the field in the direction of the office area without telling his coworkers that he was not feeling well and sat inside a hot metal shed for about an hour before two female coworkers noticed that he was slumping over in his chair, not sweating and uttering incoherent sounds. Employee #1 was transported to a medical treatment facility in an air conditioned private car. Employee #1 died due to hyperthermia as noted on the County Coroner's Certificate of Death. ."
2002,WILLIE JOHNSON,NC,250,Tobacco Farming,"On July 31, 2002, Employee #1, a farm worker, drove his own vehicle to a tobacco field to begin work. He was topping tobacco plants when he apparently suffered from heat stroke and collapsed. Employee #1 was killed. He was working alone at the time of the accident."
